Status,Cases
2020-03-22 10:00,6
2020-03-23 15:00,6
2020-03-24 10:00,7
2020-03-25 10:00,7
2020-03-26 10:00,7
2020-03-27 10:00,7
2020-03-28 10:00,9
2020-03-29 11:00,9
2020-03-30 10:00,10
2020-03-31 11:00,11
2020-04-01 10:00,11
2020-04-02 10:00,12
2020-04-03 11:00,12
2020-04-04 10:00,14
2020-04-05 10:00,16
2020-04-06 10:00,16
2020-04-07 10:00,17
2020-04-08 10:00,36
2020-04-09 10:00,39
2020-04-10 10:00,42
2020-04-11 10:00,46
2020-04-12 10:00,47
2020-04-13 10:00,48
2020-04-14 10:00,49
2020-04-16 10:00,53
2020-04-17 10:00,55
2020-04-18 10:00,55
2020-04-20 10:00,56
2020-04-22 10:00,57
2020-04-23 10:00,57
2020-04-27 10:00,57
