Status,Cases
2020-03-22 10:00,0
2020-03-23 15:00,0
2020-03-24 10:00,0
2020-03-25 10:00,0
2020-03-26 10:00,0
2020-03-27 10:00,2
2020-03-28 10:00,7
2020-03-29 11:00,8
2020-03-30 10:00,8
2020-03-31 11:00,8
2020-04-01 10:00,8
2020-04-02 10:00,8
2020-04-03 11:00,8
2020-04-04 10:00,8
2020-04-05 10:00,9
2020-04-06 10:00,9
2020-04-07 10:00,8
2020-04-08 10:00,8
2020-04-09 10:00,8
2020-04-10 10:00,8
2020-04-11 10:00,9
2020-04-12 10:00,9
2020-04-13 10:00,9
2020-04-14 10:00,10
2020-04-16 10:00,10
2020-04-17 10:00,12
2020-04-18 10:00,12
2020-04-20 10:00,12
