Status,Cases
2020-03-23 12:00:00,19
2020-03-23 18:00:00,23
2020-03-24 13:00:00,27
2020-03-24 19:00:00,33
2020-03-25 12:00:00,45
2020-03-25 16:00:00,45
2020-03-26 18:00:00,60
2020-03-27 16:00:00,63
2020-03-28 16:00:00,64
2020-03-29 16:00:00,65
2020-03-30 16:00:00,65
2020-03-31 16:00:00,77
2020-04-01 16:00:00,82
2020-04-02 16:00:00,91
2020-04-03 16:00:00,97
2020-04-04 16:00:00,98
2020-04-06 16:00:00,105
2020-04-07 16:00:00,111
2020-04-08 16:00:00,113
2020-04-09 16:00:00,113
2020-04-11 16:00:00,114
2020-04-12 16:00:00,114
2020-04-13 16:00:00,114
2020-04-14 16:00:00,116
2020-04-16 16:00:00,120
2020-04-17 16:00:00,123
