Status,Cases
2020-03-20,110
2020-03-22,185
2020-03-23,193
2020-03-24,201
2020-03-24,204
2020-03-25,237
2020-03-26,264
2020-03-27,297
2020-03-27,298
2020-03-28 10:00:00,331
2020-03-29 09:30:00,365
2020-03-30 13:30:00,388
2020-03-31 12:50:00,401
2020-04-01 09:00:00,450
2020-04-02 08:30:00,485
2020-04-03 08:20:00,503
2020-04-04 15:00:00,520
2020-04-05 14:00:00,541
2020-04-06 11:30:00,544
2020-04-07 08:30:00,551
2020-04-08 09:00:00,578
2020-04-09 16:00:00,600
2020-04-10 11:00:00,629
2020-04-11 14:15:00,638
2020-04-12 09:00:00,639
2020-04-13 09:00:00,655
