Status,Cases
2020-03-20 16:15:00,81
2020-03-21 14:15:00,81
2020-03-21 17:00:00,95
2020-03-22 17:00:00,99
2020-03-23 16:45:00,117
2020-03-24 16:45:00,137
2020-03-26 16:45:00,163
2020-03-27 16:00:00,170
2020-03-28 16:00:00,207
2020-03-29 15:00:00,215
2020-03-30 16:30:00,230
2020-03-31 16:30:00,274
2020-04-01 16:30:00,317
2020-04-03 16:30:00,360
2020-04-04 17:30:00,389
2020-04-06 16:30:00,406
2020-04-07 16:30:00,428
2020-04-08 16:30:00,428
2020-04-09 16:30:00,445
2020-04-11 14:00:00,476
2020-04-12 14:00:00,482
