Status,Cases
2020-03-18 16:50:00,35
2020-03-19 16:40:00,43
2020-03-20 15:30:00,57
2020-03-21 18:00:00,64
2020-03-23,67
2020-03-24 16:50:00,99
2020-03-25 15:00:00,121
2020-03-26 15:50:00,164
2020-03-27 15:00:00,197
2020-03-30,246
2020-03-31,267
2020-04-01 17:30:00,285
2020-04-02 15:45:00,314
2020-04-03 15:45:00,343
2020-04-06 17:20:00,387
2020-04-07 16:00:00,390
2020-04-08 17:10:00,411
2020-04-09 17:00:00,418
2020-04-14 16:45:00,454
2020-04-16 16:00:00,467
2020-04-17 16:20:00,475
2020-04-20 16:30:00,489
2020-04-22 15:50:00,514
2020-04-23 16:30:00,526
