Status,Cases
2020-03-21 10:05:00,46
2020-03-22 09:30:00,52
2020-03-23 10:15:00,65
2020-03-24 10:30:00,75
2020-03-30 09:50:00,172
2020-03-31 09:20:00,183
2020-04-01 09:00:00,190
2020-04-02 09:00:00,201
2020-04-03 09:00:00,225
2020-04-04 08:30:00,236
2020-04-05 07:45:00,247
2020-04-06 09:30:00,256
2020-04-07 10:00:00,273
2020-04-08 10:00:00,281
2020-04-09 09:30:00,294
2020-04-09 21:30:00,301
2020-04-11 07:30:00,304
2020-04-12 07:45:00,309
2020-04-13 08:30:00,310
2020-04-14 11:15:00,311
2020-04-16 09:40:00,325
2020-04-17,340
2020-04-18 08:00:00,340
2020-04-20 09:00:00,358
