Status,Cases
2020-03-21 17:55,40
2020-03-22 09:51,43
2020-03-22 13:30,49
2020-03-22 18:28,50
2020-03-23 13:10,52
2020-03-23 16:50,55
2020-03-24 17:55,57
2020-03-25 12:00,59
2020-03-25 18:00,65
2020-03-26 15:00,74
2020-03-26 18:00,76
2020-03-27 18:00,95
2020-03-28 18:00,96
2020-03-29 18:00,104
2020-03-30 18:00,114
2020-03-31 18:00,133
2020-04-01 18:00,150
2020-04-02 18:00,244
2020-04-03 18:00,274
2020-04-04 18:00,276
2020-04-06 18:00,303
2020-04-07 11:00,308
2020-04-07 18:00,319
2020-04-08 18:00,333
2020-04-09 18:00,342
2020-04-11 18:00,392
