Status,Cases
2020-03-18 12:00:00,37
2020-03-19 11:00:00,40
2020-03-20 17:00:00,50
2020-03-21 12:00:00,55
2020-03-21 18:00:00,59
2020-03-22 12:00:00,60
2020-03-22 17:00:00,62
2020-03-23 12:00:00,62
2020-03-23 18:00:00,67
2020-03-24 13:00:00,79
2020-03-24 19:00:00,87
2020-03-25 12:00:00,121
2020-03-25 16:00:00,129
2020-03-26 18:00:00,163
2020-03-27 16:00:00,169
2020-03-28 16:00:00,172
2020-03-29 16:00:00,178
2020-03-30 16:00:00,178
2020-03-31 16:00:00,218
2020-04-01 16:00:00,227
2020-04-02 16:00:00,254
2020-04-03 16:00:00,263
2020-04-04 16:00:00,280
2020-04-06 16:00:00,291
2020-04-07 16:00:00,309
2020-04-08 16:00:00,317
2020-04-09 16:00:00,321
2020-04-11 16:00:00,360
2020-04-12 16:00:00,360
2020-04-13 16:00:00,360
2020-04-14 16:00:00,368
