Status,Cases
2020-03-18 16:00:00,30
2020-03-18 16:00:00,34
2020-03-23 16:00:00,41
2020-03-23 19:00:00,41
2020-03-24 17:00:00,46
2020-03-24 17:00:00,49
2020-03-26,99
2020-03-26 14:30:00,99
2020-03-26 14:30:00,113
2020-03-26 14:30:00,124
2020-03-26 14:30:00,143
2020-04-03 17:00:00,149
2020-04-03 17:00:00,154
2020-04-03 17:00:00,163
2020-04-08 12:00:00,209
2020-04-08 17:00:00,214
2020-04-09 18:00:00,242
2020-04-11 20:00:00,293
2020-04-12 18:00:00,303
2020-04-13 18:30:00,315
2020-04-13 18:30:00,358
2020-04-17 17:00:00,372
2020-04-17 17:00:00,382
2020-04-20 18:30:00,413
