Status,Cases
2020-03-18 16:00:00,19
2020-03-18 16:00:00,21
2020-03-23 16:00:00,22
2020-03-23 19:00:00,22
2020-03-24 17:00:00,23
2020-03-26,40
2020-03-26 14:30:00,40
2020-03-26 14:30:00,47
2020-03-26 14:30:00,57
2020-03-26 14:30:00,65
2020-04-03 17:00:00,66
2020-04-03 17:00:00,69
2020-04-03 17:00:00,74
2020-04-08 12:00:00,89
2020-04-08 17:00:00,92
2020-04-09 18:00:00,100
2020-04-11 20:00:00,107
2020-04-12 18:00:00,119
2020-04-13 18:30:00,121
2020-04-13 18:30:00,165
2020-04-17 17:00:00,188
2020-04-17 17:00:00,194
2020-04-20 18:30:00,214
2020-04-20 18:30:00,260
2020-04-25 18:00:00,282
2020-04-25 18:00:00,292
