Status,Cases
2020-03-22 09:30:00,201
2020-03-27 08:30:00,328
2020-03-28 08:30:00,328
2020-03-29 08:30:00,388
2020-03-30 08:30:00,395
2020-03-31 08:30:00,418
2020-04-01 08:30:00,453
2020-04-02 08:30:00,516
2020-04-03 08:30:00,573
2020-04-04 08:30:00,605
2020-04-05 08:30:00,664
2020-04-06 08:30:00,702
2020-04-07 08:30:00,746
2020-04-08 08:30:00,806
2020-04-09 08:30:00,851
2020-04-10,900
2020-04-11 13:45:00,951
2020-04-12 00:00:00,960
2020-04-13,983
2020-04-14 07:30:00,1005
2020-04-16 07:30:00,1032
2020-04-17 07:30:00,1052
2020-04-18,1071
2020-04-20 07:30:00,1106
2020-04-22 07:30:00,1130
2020-04-23 14:30:00,1156
