Status,Cases
2020-03-21 10:30:00,43
2020-03-22 13:00:00,43
2020-03-23 10:00:00,43
2020-03-24 09:30:00,45
2020-03-25 10:00:00,53
2020-03-26 10:00:00,62
2020-03-27 09:30:00,67
2020-03-28 10:30:00,75
2020-03-30 09:30:00,67
2020-03-31 09:30:00,84
2020-04-01 09:30:00,89
2020-04-02,92
2020-04-03,98
2020-04-04,101
2020-04-05,103
2020-04-06,103
2020-04-07,109
2020-04-08 10:30:00,117
2020-04-09 10:30:00,128
2020-04-10 10:30:00,137
2020-04-11 11:30:00,144
2020-04-12 12:30:00,147
2020-04-13,150
2020-04-14,153
2020-04-16,166
2020-04-17 09:35:00,180
