Status,Cases
2020-03-22 09:30:00,17
2020-03-27 08:30:00,29
2020-03-28 08:30:00,29
2020-03-29 08:30:00,28
2020-03-30 08:30:00,25
2020-03-31 08:30:00,24
2020-04-01 08:30:00,24
2020-04-02 08:30:00,23
2020-04-03 08:30:00,25
2020-04-04 08:30:00,26
2020-04-05 08:30:00,29
2020-04-06 08:30:00,25
2020-04-07 08:30:00,30
2020-04-08 08:30:00,38
2020-04-09 08:30:00,36
2020-04-10,35
2020-04-11 13:45:00,40
2020-04-12 00:00:00,39
2020-04-13,39
2020-04-14 07:30:00,37
2020-04-16 07:30:00,30
2020-04-17 07:30:00,29
2020-04-18,27
2020-04-20 07:30:00,26
2020-04-22 07:30:00,24
2020-04-23 14:30:00,22
2020-04-27,26
