Status,Cases
2020-03-22 09:30:00,2
2020-03-27 08:30:00,6
2020-03-28 08:30:00,8
2020-03-29 08:30:00,12
2020-03-30 08:30:00,12
2020-03-31 08:30:00,12
2020-04-01 08:30:00,17
2020-04-02 08:30:00,20
2020-04-03 08:30:00,20
2020-04-04 08:30:00,23
2020-04-05 08:30:00,37
2020-04-06 08:30:00,46
2020-04-07 08:30:00,47
2020-04-08 08:30:00,50
2020-04-09 08:30:00,49
2020-04-10,56
2020-04-11 13:45:00,58
2020-04-12 00:00:00,59
2020-04-13,64
2020-04-14 07:30:00,64
2020-04-16 07:30:00,60
2020-04-17 07:30:00,61
2020-04-18,60
