Status,Cases
2020-03-29 08:30:00,1
2020-03-30 08:30:00,2
2020-03-31 08:30:00,2
2020-04-01 08:30:00,1
2020-04-02 08:30:00,2
2020-04-03 08:30:00,2
2020-04-04 08:30:00,2
2020-04-05 08:30:00,3
2020-04-06 08:30:00,3
2020-04-07 08:30:00,3
2020-04-08 08:30:00,5
2020-04-09 08:30:00,6
2020-04-10,7
2020-04-11 13:45:00,10
2020-04-12 00:00:00,10
2020-04-13,10
2020-04-14 07:30:00,10
2020-04-16 07:30:00,13
2020-04-17 07:30:00,13
2020-04-18,13
2020-04-20 07:30:00,13
2020-04-22 07:30:00,11
2020-04-23 14:30:00,10
2020-04-27,9
